,Unnamed: 0,symboling,normalized-losses,make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curbweight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,model,year,city-L/100km,highway-L/100km,horsepower-binned,fuel-type-diesel,fuel-type-gas,sports_or_wagon
0,0,3.0,122,alfa-romero,std,2,convertible,rwd,front,88.6,0.8111484863046613,0.8865836791147994,0.8160535117056856,2548.0,dohc,four,130.0,mpfi,3.47,2.68,9.0,111.0,5000.0,21.0,27.0,13495.0,,2019.4,11.19047619047619,9.37037037037037,low,0,1,22.954954954954953
1,1,3.0,122,alfa-romero,std,2,convertible,rwd,front,88.6,0.8111484863046613,0.8865836791147994,0.8160535117056856,2548.0,dohc,four,130.0,mpfi,3.47,2.68,9.0,111.0,5000.0,21.0,27.0,16500.0,,2019.4,11.19047619047619,9.37037037037037,low,0,1,22.954954954954953
2,2,1.0,122,alfa-romero,std,2,hatchback,rwd,front,94.5,0.8226814031715521,0.9059474412171508,0.8762541806020067,2823.0,ohcv,six,152.0,mpfi,2.68,3.47,9.0,154.0,5000.0,19.0,26.0,16500.0,,2019.4,12.36842105263158,9.73076923076923,medium,0,1,18.33116883116883
3,3,2.0,164,audi,std,4,sedan,fwd,front,99.8,0.8486304661220567,0.9156293222683264,0.9080267558528428,2337.0,ohc,four,109.0,mpfi,3.19,3.4,10.0,102.0,5500.0,24.0,30.0,13950.0,,2019.4,9.791666666666666,8.433333333333334,low,0,1,22.91176470588235
4,4,2.0,164,audi,std,4,sedan,4wd,front,99.4,0.8486304661220567,0.9183955739972338,0.9080267558528428,2824.0,ohc,five,136.0,mpfi,3.19,3.4,8.0,115.0,5500.0,18.0,22.0,17450.0,,2019.4,13.055555555555555,11.5,low,0,1,24.556521739130435
5,5,2.0,122,audi,std,2,sedan,fwd,front,99.8,0.8519942335415667,0.91701244813278,0.8879598662207359,2507.0,ohc,five,136.0,mpfi,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,15250.0,,2019.4,12.36842105263158,10.12,low,0,1,22.79090909090909
6,6,1.0,158,audi,std,4,sedan,fwd,front,105.8,0.9259971167707832,0.9875518672199172,0.931438127090301,2844.0,ohc,five,136.0,mpfi,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,17710.0,,2019.4,12.36842105263158,10.12,low,0,1,25.854545454545455
7,7,1.0,122,audi,std,4,wagon,fwd,front,105.8,0.9259971167707832,0.9875518672199172,0.931438127090301,2954.0,ohc,five,136.0,mpfi,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,18920.0,,2019.4,12.36842105263158,10.12,low,0,1,26.854545454545455
8,8,1.0,158,audi,turbo,4,sedan,fwd,front,105.8,0.9259971167707832,0.9875518672199172,0.9347826086956522,3086.0,ohc,five,131.0,mpfi,3.13,3.4,8.3,140.0,5500.0,17.0,20.0,23875.0,,2019.4,13.823529411764708,12.65,medium,0,1,22.042857142857144
9,9,0.0,122,audi,turbo,2,hatchback,4wd,front,99.5,0.8563190773666506,0.9391424619640388,0.8695652173913044,3053.0,ohc,five,131.0,mpfi,3.13,3.4,7.0,160.0,5500.0,16.0,22.0,13207.129353233831,,2019.4,14.6875,11.5,medium,0,1,19.08125
10,10,2.0,192,bmw,std,2,sedan,rwd,front,101.2,0.849591542527631,0.8962655601659751,0.9080267558528428,2395.0,ohc,four,108.0,mpfi,3.5,2.8,8.8,101.0,5800.0,23.0,29.0,16430.0,,2019.4,10.217391304347826,8.724137931034482,low,0,1,23.712871287128714
11,11,0.0,192,bmw,std,4,sedan,rwd,front,101.2,0.849591542527631,0.8962655601659751,0.9080267558528428,2395.0,ohc,four,108.0,mpfi,3.5,2.8,8.8,101.0,5800.0,23.0,29.0,16925.0,,2019.4,10.217391304347826,8.724137931034482,low,0,1,23.712871287128714
12,12,0.0,188,bmw,std,2,sedan,rwd,front,101.2,0.849591542527631,0.8962655601659751,0.9080267558528428,2710.0,ohc,six,164.0,mpfi,3.31,3.19,9.0,121.0,4250.0,21.0,28.0,20970.0,,2019.4,11.19047619047619,9.035714285714286,low,0,1,22.39669421487603
13,13,0.0,188,bmw,std,4,sedan,rwd,front,101.2,0.849591542527631,0.8962655601659751,0.9080267558528428,2765.0,ohc,six,164.0,mpfi,3.31,3.19,9.0,121.0,4250.0,21.0,28.0,21105.0,,2019.4,11.19047619047619,9.035714285714286,low,0,1,22.85123966942149
14,14,1.0,122,bmw,std,4,sedan,rwd,front,103.5,0.9082172032676598,0.9253112033195022,0.931438127090301,3055.0,ohc,six,164.0,mpfi,3.31,3.19,9.0,121.0,4250.0,20.0,25.0,24565.0,,2019.4,11.75,10.12,low,0,1,25.24793388429752
15,15,0.0,122,bmw,std,4,sedan,rwd,front,103.5,0.9082172032676598,0.9253112033195022,0.931438127090301,3230.0,ohc,six,209.0,mpfi,3.62,3.39,8.0,182.0,5400.0,16.0,22.0,30760.0,,2019.4,14.6875,11.5,medium,0,1,17.747252747252748
16,16,0.0,122,bmw,std,2,sedan,rwd,front,103.5,0.9312830370014415,0.9391424619640388,0.8979933110367894,3380.0,ohc,six,209.0,mpfi,3.62,3.39,8.0,182.0,5400.0,16.0,22.0,41315.0,,2019.4,14.6875,11.5,medium,0,1,18.571428571428573
17,17,0.0,122,bmw,std,4,sedan,rwd,front,110.0,0.9466602594906296,0.9806362378976488,0.9414715719063546,3505.0,ohc,six,209.0,mpfi,3.62,3.39,8.0,182.0,5400.0,15.0,20.0,36880.0,,2019.4,15.666666666666666,12.65,medium,0,1,19.25824175824176
